congID;details;id;name;year
106;Florida Republican, District 18;N00002858;Ros-Lehtinen, Ileana;2000
106;Delaware Republican, Senate;N00001664;Roth, William V Jr;2000
106;New Jersey Democrat, District 9;N00008619;Rothman, Steven R;2000
106;New Jersey Republican, District 5;N00000740;Roukema, Marge;2000
106;California Democrat, District 33;N00006671;Roybal-Allard, Lucille;2000
106;California Republican, District 39;N00008264;Royce, Ed;2000
106;Illinois Democrat, District 1;N00004887;Rush, Bobby L;2000
106;Wisconsin Republican, District 1;N00004357;Ryan, Paul;2000
106;Kansas Republican, District 2;N00005218;Ryun, Jim;2000
106;Minnesota Democrat, District 5;N00004489;Sabo, Martin Olav;2000
106;Arizona Republican, District 1;N00006446;Salmon, Matt;2000
106;California Democrat, District 46;N00008274;Sanchez, Loretta;2000
106;Vermont Independent, District 1;N00000528;Sanders, Bernie;2000
106;Texas Democrat, District 1;N00005724;Sandlin, Max;2000
106;South Carolina Republican, District 1;N00002424;Sanford, Mark;2000
106;Pennsylvania Republican, Senate;N00001380;Santorum, Rick;2000
106;Maryland Democrat, Senate;N00001979;Sarbanes, Paul S;2000
106;Ohio Democrat, District 14;N00009799;Sawyer, Tom;2000
106;New Jersey Republican, District 3;N00000834;Saxton, Jim;2000
106;Florida Republican, District 1;N00002754;Scarborough, Joe;2000
106;Colorado Republican, District 4;N00006182;Schaffer, Bob;2000
