id;link;name;year
N00006692;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006692&year=2015;Barbara Boxer (D-Calif);2015
N00004227;https://www.opensecrets.org/personal-finances/net-worth?cid=N00004227&year=2015;Tom Latham (R-Iowa);2015
N00033091;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033091&year=2015;Patrick Murphy (D-Fla);2015
N00030875;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030875&year=2015;Ann Mclane Kuster (D-NH);2015
N00002221;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002221&year=2015;Richard Burr (R-NC);2015
N00003028;https://www.opensecrets.org/personal-finances/net-worth?cid=N00003028&year=2015;Robert B Aderholt (R-Ala);2015
N00005285;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005285&year=2015;Pat Roberts (R-Kan);2015
N00035774;https://www.opensecrets.org/personal-finances/net-worth?cid=N00035774&year=2015;Dan Sullivan (R-Alaska);2015
N00029147;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029147&year=2015;Andy Harris (R-Md);2015
N00012233;https://www.opensecrets.org/personal-finances/net-worth?cid=N00012233&year=2015;Robert E Latta (R-Ohio);2015
N00000267;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000267&year=2015;Michael E Capuano (D-Mass);2015
N00028139;https://www.opensecrets.org/personal-finances/net-worth?cid=N00028139&year=2015;Mazie K Hirono (D-Hawaii);2015
N00006561;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006561&year=2015;Tom Udall (D-NM);2015
N00007312;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007312&year=2015;Sam Farr (D-Calif);2015
N00038397;https://www.opensecrets.org/personal-finances/net-worth?cid=N00038397&year=2015;Maggie Hassan (D-NH);2015
N00007419;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007419&year=2015;Mike Thompson (D-Calif);2015
N00001955;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001955&year=2015;Ben Cardin (D-Md);2015
N00029675;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029675&year=2015;Brett Guthrie (R-Ky);2015
N00002247;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002247&year=2015;Howard Coble (R-NC);2015
N00031934;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031934&year=2015;Dan Benishek (R-Mich);2015
N00034884;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034884&year=2015;William Enyart (D-Ill);2015
N00031933;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031933&year=2015;Bill Keating (D-Mass);2015
N00001489;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001489&year=2015;Pat Toomey (R-Pa);2015
N00034041;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034041&year=2015;Thomas Massie (R-Ky);2015
N00031412;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031412&year=2015;Mick Mulvaney (R-SC);2015
N00029891;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029891&year=2015;Gerry Connolly (D-Va);2015
N00007690;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007690&year=2015;Greg Walden (R-Ore);2015
N00030815;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030815&year=2015;Chuck Fleischmann (R-Tenn);2015
N00024871;https://www.opensecrets.org/personal-finances/net-worth?cid=N00024871&year=2015;David Scott (D-Ga);2015
N00007479;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007479&year=2015;Zoe Lofgren (D-Calif);2015
N00009724;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009724&year=2015;Jim Langevin (D-RI);2015
N00005736;https://www.opensecrets.org/personal-finances/net-worth?cid=N00005736&year=2015;Brian Babin (R-Texas);2015
N00009604;https://www.opensecrets.org/personal-finances/net-worth?cid=N00009604&year=2015;Susan A Davis (D-Calif);2015
N00037008;https://www.opensecrets.org/personal-finances/net-worth?cid=N00037008&year=2015;Chris Christie (R);2015
N00001692;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001692&year=2015;Eleanor Holmes Norton (D-DC);2015
N00030676;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030676&year=2015;Billy Long (R-Mo);2015
N00026166;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026166&year=2015;Virginia Foxx (R-NC);2015
N00000270;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000270&year=2015;Ed Markey (D-Mass);2015
N00006263;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006263&year=2015;Mike Simpson (R-Idaho);2015
N00007021;https://www.opensecrets.org/personal-finances/net-worth?cid=N00007021&year=2015;Juan Vargas (D-Calif);2015
N00006134;https://www.opensecrets.org/personal-finances/net-worth?cid=N00006134&year=2015;Diana DeGette (D-Colo);2015
N00001311;https://www.opensecrets.org/personal-finances/net-worth?cid=N00001311&year=2015;Louise M Slaughter (D-NY);2015
N00004874;https://www.opensecrets.org/personal-finances/net-worth?cid=N00004874&year=2015;Luis V Gutierrez (D-Ill);2015
N00036403;https://www.opensecrets.org/personal-finances/net-worth?cid=N00036403&year=2015;Daniel Milton Newhouse (R-Wash);2015
N00025219;https://www.opensecrets.org/personal-finances/net-worth?cid=N00025219&year=2015;Michael Burgess (R-Texas);2015
N00029273;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029273&year=2015;Aaron Schock (R-Ill);2015
N00029459;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029459&year=2015;Rob Wittman (R-Va);2015
N00033220;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033220&year=2015;Ted Yoho (R-Fla);2015
N00002198;https://www.opensecrets.org/personal-finances/net-worth?cid=N00002198&year=2015;Nick Rahall (D-WVa);2015
N00030245;https://www.opensecrets.org/personal-finances/net-worth?cid=N00030245&year=2015;Bill Cassidy (R-La);2015
N00033274;https://www.opensecrets.org/personal-finances/net-worth?cid=N00033274&year=2015;Alan Lowenthal (D-Calif);2015
N00036154;https://www.opensecrets.org/personal-finances/net-worth?cid=N00036154&year=2015;Don Norcross (D-NJ);2015
N00000964;https://www.opensecrets.org/personal-finances/net-worth?cid=N00000964&year=2015;Charles B Rangel (D-NY);2015
N00024922;https://www.opensecrets.org/personal-finances/net-worth?cid=N00024922&year=2015;Jeb Hensarling (R-Texas);2015
N00034547;https://www.opensecrets.org/personal-finances/net-worth?cid=N00034547&year=2015;Grace Meng (D-NY);2015
N00029285;https://www.opensecrets.org/personal-finances/net-worth?cid=N00029285&year=2015;Pete Olson (R-Texas);2015
N00031128;https://www.opensecrets.org/personal-finances/net-worth?cid=N00031128&year=2015;Bob Gibbs (R-Ohio);2015
N00026050;https://www.opensecrets.org/personal-finances/net-worth?cid=N00026050&year=2015;Lisa Murkowski (R-Alaska);2015
